SessionID,UserID,StartTime,EndTime,Genre,DeviceType,SubscriptionType,Region,DurationMinutes,WatchMinutes,CompletionRate,BufferEvents,BitrateMbps,UserRating,PeakHours,PauseCount,VolumeChanges,AdSkips
SSN100013,USR7542,2024-04-04T19:10:10,2024-04-04T21:20:10,Sci-Fi,Tablet,Standard,Canada,128,80,0.65,1,3.37,2,Yes,0,1,0
SSN100014,USR8294,2024-04-26T14:41:03,2024-04-26T15:31:03,Drama,Smart TV,Standard,India,49,50,1,1,5.92,4,No,2,0,0
SSN100015,USR6499,2024-07-13T07:47:38,2024-07-13T10:19:38,Comedy,Tablet,Standard,Brazil,150,151,1,0,2.37,4.6,No,0,3,3
SSN100016,USR4156,2024-07-30T21:37:50,2024-07-30T22:06:50,Sci-Fi,Game Console,Basic,Brazil,31,26,0.86,2,3.15,4.3,Yes,1,2,1
SSN100017,USR2428,2024-04-19T01:24:06,2024-04-19T03:28:06,Horror,PC,Basic,Australia,125,123,1,1,3.13,4.3,Yes,0,5,0
SSN100018,USR2022,2024-12-01T16:49:07,2024-12-01T19:32:07,Horror,Mobile,Standard,Canada,163,111,0.68,0,4.23,3.9,No,1,4,1
SSN100019,USR8842,2024-12-06T18:42:14,2024-12-06T19:17:14,Horror,Mobile,Premium,Australia,37,24,,2,4.74,4.2,Yes,0,8,0
SSN100020,USR7789,2024-01-05T07:54:02,2024-01-05T09:12:02,Comedy,Game Console,Basic,US,74,40,0.49,0,3.43,3.8,No,3,1,1
SSN100021,USR9779,2024-11-19T10:33:01,2024-11-19T12:59:01,Action,Game Console,Premium,Brazil,145,69,0.49,2,3.71,5,No,0,4,0
SSN100022,USR8881,2024-02-24T19:08:55,2024-02-24T19:54:55,Comedy,Tablet,Basic,US,46,25,0.62,1,3.37,4,Yes,1,1,3
SSN100023,USR7846,2024-01-17T10:46:27,2024-01-17T11:57:27,Drama,Game Console,Standard,Brazil,70,54,0.78,1,4.3,3.2,No,2,2,2
SSN100024,USR4270,2024-11-05T16:38:15,2024-11-05T19:38:15,Animation,Tablet,Premium,US,181,92,0.51,2,3.81,3,No,1,4,0
SSN100025,USR7271,2024-10-03T06:40:09,2024-10-03T08:26:09,animation,Smart TV,Premium,Germany,104,105,1,1,5.67,4.1,No,1,2,0
SSN100026,USR5305,2024-04-19T19:49:00,2024-04-19T20:52:00,Documentary,PC,Standard,US,56,61,0.93,2,1.44,4.1,Yes,2,0,4
SSN100027,USR2168,2024-07-29T01:51:02,2024-07-29T03:44:02,Sci-Fi,Tablet,Basic,US,116,115,1,0,2.47,3.9,Yes,1,3,0
SSN100028,USR8270,2024-10-02T20:19:09,2024-10-02T22:02:09,Sci-Fi,Mobile,Standard,India,104,75,0.76,0,3.29,3.9,Yes,0,3,1
SSN100029,USR8998,2024-01-30T18:32:46,2024-01-30T20:39:46,Documentary,Tablet,Standard,UK,129,54,0.41,1,2.18,4.7,Yes,7,1,0
SSN100030,USR9861,2024-05-23T17:44:12,2024-05-23T18:48:12,Romance,Mobile,Basic,US,63,41,0.62,1,2.91,3.6,No,0,1,1
SSN100031,USR4538,2024-09-07T20:36:33,2024-09-07T21:01:33,Documentary,Mobile,Standard,France,26,20,0.82,1,4.32,3.1,Yes,2,3,1
SSN100032,USR1947,2024-07-06T18:06:28,2024-07-06T19:14:28,Drama,Smart TV,Basic,India,68,54,0.83,0,4.57,,Yes,1,0,2
SSN100033,USR9411,2024-03-22T10:21:41,2024-03-22T12:10:41,Documentary,Game Console,Standard,Brazil,108,99,,1,3.14,4.4,No,1,1,0
SSN100034,USR7875,2024-05-25T04:56:23,2024-05-25T05:37:23,Horror ,Game Console,Basic,UK,39,30,0.82,0,3.8,3.5,No,1,1,2
SSN100035,USR7003,2024-08-03T21:09:09,2024-08-03T22:53:09,Action,Smart TV,Basic,Germany,106,74,0.71,1,5.92,4.8,Yes,1,2,1
SSN100036,USR2713,2024-08-25T10:43:49,2024-08-25T11:09:49,Romance,Mobile,Basic,Australia,22,16,0.59,0,3.99,3.7,No,0,1,2
SSN100037,USR4402,2024-04-30T06:18:30,2024-04-30T09:01:30,Horror,Mobile,Standard,France,167,83,0.5,1,4.4,,No,1,1,1
SSN100038,USR8698,2024-06-05T19:11:38,2024-06-05T21:05:38,Drama,pc,Standard,Australia,117,81,0.71,0,4.78,3,Yes,3,0,0
SSN100039,USR9913,2024-12-16T03:01:04,2024-12-16T03:43:04,Action,Mobile,Basic,Australia,45,28,0.72,0,3.7,4.4,No,2,3,2
SSN100040,USR7163,2024-09-28T00:27:00,2024-09-28T01:36:00,Comedy,Smart TV,Standard,UK,66,66,0.99,0,7.22,5,Yes,0,3,0
SSN100041,USR3592,2024-09-24T01:42:28,2024-09-24T04:36:28,Comedy,Tablet,Premium,Brazil,172,137,0.77,0,4.09,3.8,Yes,3,0,0
SSN100042,USR1087,2024-10-30T12:44:12,2024-10-30T13:11:12,Drama,Game Console,Standard,India,30,21,0.76,0,2.58,4.6,No,1,2,0
SSN100043,USR1471,2024-08-04T16:56:33,2024-08-04T19:51:33,Drama,Mobile,Premium,Canada,173,174,0.97,0,2.07,2.5,No,1,4,0
SSN100044,USR7135,2024-12-20T13:19:02,2024-12-20T15:00:02,Romance,Game Console,Basic,France,99,100,1,3,4.98,4.4,No,0,5,1
SSN100045,USR9178,2024-12-12T15:40:19,2024-12-12T17:43:19,Romance,Mobile,Basic,Canada,128,95,0.77,0,4.99,4.3,No,2,3,0
SSN100046,USR6357,2024-02-06T07:15:51,2024-02-06T08:06:51,Documentary,Mobile,Premium,France,48,32,0.65,0,3.5,3.9,No,2,2,0
SSN100047,USR9482,2024-02-19T21:46:07,2024-02-19T23:58:07,Documentary ,Mobile,Premium,France,132,130,1,2,3.15,4.2,Yes,1,3,0
SSN100048,USR8271,2024-07-14T07:13:59,2024-07-14T08:02:59,Drama,PC,Basic,US,49,53,1,2,3.59,4.2,No,2,2,1
SSN100049,USR2184,2024-10-09T13:41:29,2024-10-09T16:21:29,Horror,Mobile,Premium,UK,161,156,0.94,2,2.93,4.8,No,3,0,0
SSN100050,USR7665,2024-11-15T01:51:29,2024-11-15T04:38:29,Horror,PC,Premium,UK,166,159,0.96,1,2.91,2.8,Yes,0,2,0
SSN100051,USR8294,2024-01-21T20:07:31,2024-01-21T22:52:31,Romance,Mobile,Premium,UK,160,141,0.85,0,3.1,4.2,Yes,2,5,0
SSN100052,USR3104,2024-03-07T05:16:46,2024-03-07T06:01:46,Funny,Smart TV,Basic,Germany,44,19,0.4,0,5.4,3.5,No,2,3,1
SSN100053,USR4217,2024-12-09T09:26:29,2024-12-09T10:17:29,Sci-Fi,Smart TV,Standard,Australia,49,52,1,1,5.97,3.7,No,1,2,0
SSN100054,USR7281,2024-03-23T19:23:14,2024-03-23T21:20:14,SciFi,Game Console,Basic,UK,116,115,1,1,3.18,3.2,Yes,0,3,1
SSN100055,USR7357,2024-02-11T12:21:46,2024-02-11T14:19:46,Drama,PC,Basic,US,120,107,0.92,0,4.28,5,No,2,3,1
SSN100056,USR9699,2024-06-20T03:33:49,2024-06-20T05:42:49,Documentary,Tablet,Basic,US,128,82,0.64,0,3.56,4.1,No,2,2,0
SSN100057,USR5697,2024-12-01T00:16:24,2024-12-01T00:51:24,Romance,smart tv,Standard,US,36,25,0.75,1,,3.8,Yes,2,1,0
SSN100058,USR9845,2024-01-22T15:16:33,2024-01-22T16:49:33,Documentary,Game Console,Standard,France,89,94,0.99,1,3.15,4.4,No,2,5,0
SSN100059,USR8935,2024-07-30T01:17:54,2024-07-30T03:09:54,Horror,Mobile,Premium,India,115,114,0.99,2,3.21,3.9,Yes,0,2,0
SSN100060,USR8777,2024-12-18T14:16:45,2024-12-18T14:46:45,Comedy,PC,Basic,Germany,29,29,0.94,1,2.13,3,No,0,4,0
SSN100061,USR5451,2024-03-24T22:03:55,2024-03-24T23:20:55,Action,PC,Premium,US,77,50,0.64,3,3.24,4.9,Yes,0,4,0
SSN100062,USR7524,2024-05-20T05:36:58,2024-05-20T08:29:58,Drama,SmartTV,Standard,US,170,112,0.67,0,4.32,4,No,2,2,1
SSN100063,USR8681,2024-08-06T22:51:51,2024-08-06T23:49:51,Romance,Smart TV,Basic,India,53,41,0.68,0,5.26,4.2,Yes,4,2,2
SSN100064,USR7495,2024-11-04T06:14:52,2024-11-04T06:43:52,Comedy,Mobile,Premium,UK,31,7,0.27,1,3.67,4,No,0,3,0
SSN100065,USR5554,2024-11-06T10:26:51,2024-11-06T12:27:51,Romance,Mobile,Premium,UK,127,77,0.62,3,5.19,3.9,No,3,5,0
SSN100066,USR1782,2024-08-26T13:24:16,2024-08-26T13:58:16,Sci-Fi,PC,Basic,India,35,30,,0,3.37,4.6,No,0,1,0
SSN100067,USR1620,2024-03-04T20:46:55,2024-03-04T21:45:55,Drama,Mobile,Standard,Canada,60,42,0.74,1,5.24,5,Yes,1,2,2
SSN100068,USR6449,2024-08-31T11:21:47,2024-08-31T11:57:47,science fiction,PC,Standard,France,33,35,1,0,3.65,4.8,No,0,1,2
SSN100069,USR2143,2024-12-01T22:13:58,2024-12-01T23:15:58,Sci-Fi,Smart TV,Basic,Australia,65,50,0.84,1,5.28,2.9,Yes,1,6,1
SSN100070,USR9821,2024-01-21T19:29:10,2024-01-21T20:00:10,Horror,Mobile,Basic,Brazil,31,22,0.71,6,3.86,4.7,Yes,1,3,2
SSN100071,USR2333,2024-12-18T05:58:37,2024-12-18T08:48:37,DRAMA,Mobile,Basic,Brazil,170,154,0.92,0,3.4,4,No,2,2,2
SSN100072,USR3892,2024-02-08T17:14:58,2024-02-08T17:53:58,Romance,Tablet,Basic,US,38,20,0.6,1,4.29,4.5,No,0,1,0
SSN100073,USR3761,2024-02-12T15:16:51,2024-02-12T17:25:51,Sci-Fi,Mobile,Premium,France,127,128,1,1,3.79,3.9,No,0,4,0
SSN100074,USR4293,2024-12-16T08:16:43,2024-12-16T10:21:43,Action,Mobile,STD,US,122,67,0.51,2,2.78,,No,0,3,1
SSN100075,USR6691,2024-07-22T04:59:51,2024-07-22T06:29:51,Horror,PC,Standard,AU,93,55,0.64,1,,3.2,No,1,3,0
SSN100076,USR8876,2024-02-23T08:52:28,2024-02-23T09:15:28,SciFi,PC,Standard,Australia,25,17,0.62,2,3.31,5,No,1,1,1
SSN100077,USR1554,2024-07-29T21:29:19,2024-07-30T00:27:19,Horror,Tablet,Basic,US,178,144,0.82,3,3.59,4.3,Yes,0,4,0
SSN100078,USR9280,2024-07-22T00:45:25,2024-07-22T01:40:25,ACTION,PC,Premium,France,56,47,0.88,3,4.29,4.2,Yes,2,4,0
SSN100079,USR4142,2024-11-27T02:25:35,2024-11-27T04:54:35,Comedy,PC,Basic,Germany,149,97,0.66,3,,,No,1,0,0
SSN100080,USR1886,2024-12-16T22:41:00,2024-12-17T01:16:00,Sci-Fi,Smart TV,Premium,Germany,155,111,0.75,1,4.7,3.9,Yes,0,8,0
SSN100081,USR9602,2024-04-29T22:41:26,2024-04-29T23:55:26,Animation,Game Console,Basic,FR,70,74,1,0,4.9,4,Yes,0,3,1
SSN100082,USR3245,2024-11-30T00:37:44,2024-11-30T03:01:44,Comedy,Game Console,Premium,US,143,108,0.77,2,3.71,4.1,Yes,1,2,0
SSN100083,USR2080,2024-06-25T23:14:22,2024-06-26T00:31:22,Drama,PC,Standard,Australia,76,52,0.65,0,3.76,4.6,Yes,2,3,1
SSN100084,USR5490,2024-02-16T14:41:50,2024-02-16T16:23:50,Documentary,Tablet,Standard,Germany,104,91,0.9,0,4.67,3.7,No,1,0,1
SSN100085,USR1740,2024-10-05T21:01:50,2024-10-05T23:27:50,Horror,Smart TV,Basic,usa,145,144,0.95,5,,1.5,Yes,1,2,2
SSN100086,USR8229,2024-01-04T08:58:15,2024-01-04T09:32:15,Documentary,Smart TV,Premium,UK,36,29,0.86,1,5.7,,No,2,2,0
SSN100087,USR7126,2024-01-10T11:21:10,2024-01-10T13:28:10,Animation,Mobile,Premium,India,126,128,0.99,0,2.66,2.3,No,2,1,0
SSN100088,USR3967,2024-03-16T16:37:06,2024-03-16T17:20:06,Sci-Fi,Tablet,Basic,Brazil,42,32,0.76,2,2.63,4.2,No,2,4,2
SSN100089,USR1778,2024-05-31T07:18:43,2024-05-31T09:56:43,Documentary,PC,Standard,Germany,159,104,0.63,0,2.17,4,No,2,2,2
SSN100090,USR4529,2024-07-01T10:35:46,2024-07-01T11:37:46,Horror,Tablet,Standard,India,65,41,0.69,1,4.53,4.6,No,2,2,1
SSN100091,USR7449,2024-10-26T13:08:05,2024-10-26T14:10:05,Documentary,Tablet,Standard,india,66,55,0.84,2,3.09,4.5,No,1,3,1
SSN100092,USR5712,2024-01-17T23:03:00,2024-01-18T00:19:00,Horror,Mobile,Basic,Australia,77,57,0.77,2,4.12,2.7,Yes,1,3,0
SSN100093,USR7273,2024-05-09T14:57:19,2024-05-09T17:20:19,Romance,Smart TV,Basic,US,146,141,1,1,5.63,4.1,No,0,3,1
SSN100094,USR7721,2024-01-29T08:03:52,2024-01-29T08:26:52,Sci-Fi,Mobile,Basic,Australia,23,9,0.61,2,3.29,2.3,No,0,4,0
SSN100095,USR6248,2024-02-12T08:03:53,2024-02-12T09:18:53,Horror,smart tv,Premium,Australia,75,74,0.99,2,3.14,2.6,No,2,1,0
SSN100096,USR8367,2024-05-24T06:11:21,2024-05-24T06:47:21,Animation,Mobile,Standard,Canada,35,26,0.81,2,3.52,1.9,No,1,3,0
SSN100097,USR5202,2024-12-03T07:13:27,2024-12-03T08:05:27,Romance,Smart TV,STANDARD,Brazil,53,41,0.89,1,4.25,3.1,No,1,3,2
SSN100098,USR9111,2024-12-26T23:35:50,2024-12-27T02:29:50,Documentary,Smart TV,Standard,France,171,118,0.68,3,3.18,5,Yes,3,0,2
SSN100099,USR5706,2024-04-15T15:02:43,2024-04-15T15:56:43,Documentary,console,Standard,Canada,51,30,0.51,0,,3.5,No,3,3,0
SSN100100,USR7215,2024-10-28T01:45:45,2024-10-28T04:00:45,Comedy,PC,Basic,India,136,95,0.68,0,2.41,4,Yes,0,1,1
SSN100101,USR1720,2024-11-19T06:15:26,2024-11-19T08:25:26,Funny,Tablet,Premium,Brazil,132,110,0.87,0,2.65,4.1,No,0,2,0
SSN100102,USR3170,2024-06-15T16:26:15,2024-06-15T17:27:15,Sci-Fi,PC,Premium,Germany,64,47,0.76,0,5.39,3.9,No,2,0,0
SSN100103,USR6013,2024-08-21T19:25:35,2024-08-21T20:43:35,Action,Smart TV,Standard,US,79,68,0.85,2,5,4.8,Yes,2,2,1
SSN100104,USR6057,2024-03-01T11:03:36,2024-03-01T13:28:36,Animation,Game Console,Standard,Canada,147,107,0.73,2,3.1,3.2,No,1,3,1
SSN100105,USR7861,2024-02-04T17:27:54,2024-02-04T18:39:54,Horror,Game Console,Basic,Germany,67,46,0.64,3,4.01,4,No,0,2,1
SSN100106,USR6974,2024-06-09T06:28:14,2024-06-09T08:45:14,Action,Game Console,Standard,Brazil,134,109,0.8,0,2.59,4,No,3,4,0
SSN100107,USR6369,2024-07-19T02:13:10,2024-07-19T04:36:10,Documentary,Tablet,Basic,Canada,142,143,,0,2.15,4.5,No,2,2,2
SSN100108,USR9127,2024-07-28T06:04:55,2024-07-28T07:16:55,Documentary,Tablet,Basic,Brazil,71,71,1,2,5.92,4,No,6,2,1
SSN100109,USR1448,2024-05-20T21:50:32,2024-05-21T00:34:32,Comedy,Game Console,Standard,US,161,124,0.73,3,3.02,4.4,Yes,0,1,1
SSN100110,USR4910,2024-04-06T04:07:41,2024-04-06T06:09:41,Romance,PC,Premium,Canada,119,99,0.81,0,1.65,3.1,No,0,2,0
SSN100111,USR7764,2024-09-10T05:13:09,2024-09-10T05:44:09,Romance,Smart TV,premium,Germany,28,23,0.7,2,4.46,3.9,No,2,4,0
SSN100112,USR1165,2024-12-15T17:22:05,2024-12-15T20:13:05,Action,Game Console,Premium,Brazil,175,58,0.33,1,1.86,5,No,0,0,0
SSN100113,USR2991,2024-09-28T10:05:49,2024-09-28T12:58:49,Documentary,PC,Standard,UK,171,137,0.78,3,3.44,4.6,No,3,3,0
SSN100114,USR2220,2024-06-11T07:57:21,2024-06-11T10:12:21,Action,Game Console,Standard,Australia,134,133,0.97,2,6.18,4.6,No,0,1,3
SSN100115,USR8851,2024-04-07T09:39:01,2024-04-07T11:35:01,Animation,Tablet,Basic,France,119,90,0.77,0,4.32,4.4,No,2,2,0
SSN100116,USR5444,2024-11-04T19:22:36,2024-11-04T21:09:36,Comedy,Game Console,Basic,Brazil,107,28,0.29,3,4.49,3.2,Yes,0,1,2
SSN100117,USR8864,2024-11-24T23:25:24,2024-11-25T01:07:24,Horror,PC,Standard,Australia,104,66,0.62,2,4.2,3.7,Yes,1,2,1
SSN100118,USR6617,2024-09-15T05:11:02,2024-09-15T05:36:02,Romance,Smart TV,Basic,Germany,28,24,1,0,5.24,2.8,No,0,3,0
SSN100119,USR1173,2024-08-14T04:41:27,2024-08-14T05:51:27,Drama,Smart TV,Basic,US,74,71,1,0,6.54,2.7,No,5,3,2
SSN100120,USR7313,2024-01-05T03:57:22,2024-01-05T06:56:22,Sci-Fi,Mobile,Basic,Brazil,183,129,0.74,1,3.83,4.8,No,1,2,0
SSN100121,USR9051,2024-01-22T22:55:21,2024-01-23T00:08:21,Animation,Smart TV,Basic,UK,72,54,0.71,2,4.86,,Yes,0,1,0
SSN100122,USR5921,2024-01-29T13:54:00,2024-01-29T14:44:00,documentary,Tablet,Basic,India,49,44,0.83,2,4.79,3.5,No,1,3,0
SSN100123,USR1751,2024-05-23T13:20:30,2024-05-23T14:36:30,Horror ,Game Console,Premium,UK,73,50,0.62,1,,4.5,No,0,5,0
SSN100124,USR5338,2024-10-08T08:27:50,2024-10-08T09:30:50,Horror,Tablet,Standard,Canada,60,51,0.9,2,6.18,4.5,No,2,1,1
SSN100125,USR3153,2024-03-24T09:45:22,2024-03-24T11:37:22,Documentary,Tablet,Basic,India,115,111,1,1,4.21,2.5,No,3,3,1
SSN100126,USR8622,2024-07-03T10:45:57,2024-07-03T11:46:57,Animation,console,basic,US,57,44,0.73,1,4.48,3.9,No,1,1,2
SSN100127,USR8025,2024-09-26T00:54:16,2024-09-26T02:44:16,Documentary,Tablet,Standard,India,108,112,1,0,5.04,4,Yes,2,1,0
SSN100128,USR8576,2024-11-23T01:35:03,2024-11-23T04:10:03,Horror,Mobile,Standard,France,157,155,1,0,2.09,3.9,Yes,1,3,0
SSN100129,USR5222,2024-04-10T16:40:10,2024-04-10T18:31:10,Action,Mobile,Standard,Australia,108,106,0.92,0,3.99,3.3,No,0,1,0
SSN100130,USR6986,2024-09-02T15:29:10,2024-09-02T18:13:10,Romance,PC,Basic,UK,161,101,0.61,3,4.01,4.2,No,1,2,0
SSN100131,USR7281,2024-01-28T01:53:12,2024-01-28T04:51:12,Sci-Fi,Mobile,Basic,US,178,179,1,0,3.31,4,Yes,3,3,0
SSN100132,USR6677,2024-03-14T02:13:42,2024-03-14T04:12:42,Animation,Game Console,Standard,US,118,72,0.62,1,4.86,4.5,No,0,1,0
SSN100133,USR9911,2024-01-02T19:58:51,2024-01-02T22:50:51,Romance,Smart TV,Standard,US,170,150,0.86,0,6.1,2.5,Yes,4,4,2
SSN100134,USR7169,2024-02-29T05:41:13,2024-02-29T07:58:13,ANIMATION,Smart TV,Basic,France,137,132,1,0,5.32,3.6,No,0,5,1
SSN100135,USR2959,2024-03-01T23:48:14,2024-03-02T00:44:14,Action,PC,Basic,UK,52,50,0.98,1,5.27,3.6,Yes,1,2,3
SSN100136,USR5083,2024-08-18T08:01:52,2024-08-18T10:30:52,Horror,Smart TV,Premium,Brazil,146,149,0.98,2,4.42,5,No,0,1,0
SSN100137,USR2422,2024-07-03T01:22:30,2024-07-03T02:47:30,DRAMA,Tablet,Basic,Brazil,80,53,0.62,0,2.07,4.4,Yes,1,3,0
SSN100138,USR7118,2024-08-28T07:45:17,2024-08-28T10:25:17,Sci-Fi,Smart TV,Basic,Germany,159,44,,4,4.17,4.4,No,2,3,2
SSN100139,USR6499,2024-01-07T17:49:33,2024-01-07T19:49:33,Animation,PC,STD,India,119,92,0.76,2,3.58,3.3,No,1,0,2
SSN100140,USR7003,2024-03-05T19:30:45,2024-03-05T19:50:45,Documentary,Game Console,Standard,Canada,23,22,1,0,3.79,4.1,Yes,3,1,1
SSN100141,USR5345,2024-08-15T20:12:31,2024-08-15T21:02:31,Drama,Mobile,Premium,Germany,52,42,0.92,2,3.71,2.1,Yes,3,5,0
SSN100142,USR3575,2024-02-09T06:04:37,2024-02-09T08:49:37,Romance,Mobile,Basic,US,165,96,0.59,2,4.06,3.9,No,2,4,0
SSN100143,USR8042,2024-02-09T01:11:51,2024-02-09T02:57:51,Documentary,Smart TV,Basic,Germany,103,66,0.58,1,,3.6,Yes,1,0,0
SSN100144,USR7603,2024-09-24T05:38:33,2024-09-24T07:06:33,Animation,Smart TV,Premium,Brazil,93,78,0.88,1,5.06,4.5,No,4,4,0
SSN100145,USR4886,2024-06-23T18:35:48,2024-06-23T20:55:48,Drama,PC,Standard,Canada,137,139,1,0,3.66,3.8,Yes,3,2,3
SSN100146,USR7025,2024-10-20T03:36:26,2024-10-20T05:26:26,Documentary,PC,Basic,Canada,114,76,0.69,1,3.58,4,No,5,2,2
SSN100147,USR8605,2024-02-22T19:21:41,2024-02-22T22:14:41,Drama,Tablet,Basic,US,174,155,0.88,1,3.21,3.1,Yes,3,1,0
SSN100148,USR5757,2024-02-15T13:34:10,2024-02-15T16:13:10,SciFi,PC,Standard,Canada,158,116,0.73,1,3.64,3.9,No,1,4,1
SSN100149,USR7329,2024-08-31T10:13:32,2024-08-31T12:45:32,Animation,Smart TV,Basic,UK,154,93,0.63,0,5.05,4.2,No,1,1,0
SSN100150,USR1283,2024-01-09T19:12:27,2024-01-09T21:10:27,Sci-Fi,Mobile,Premium,France,120,120,1,1,2.46,3.9,Yes,0,2,0
SSN100151,USR2747,2024-05-11T13:29:13,2024-05-11T15:40:13,Sci-Fi,Tablet,Basic,UK,129,133,1,1,5.02,3.8,No,1,4,0
SSN100152,USR9972,2024-09-09T21:29:48,2024-09-10T00:23:48,Action,Tablet,Premium,Germany,177,174,1,4,3.14,4.4,Yes,0,3,0
SSN100153,USR2621,2024-07-09T10:45:12,2024-07-09T13:31:12,Documentary,Game Console,Basic,Australia,166,123,0.76,1,5.22,4.2,No,2,2,2
SSN100154,USR6790,2024-01-20T02:00:22,2024-01-20T02:56:22,Horror,Tablet,Basic,Germany,57,49,0.88,2,2.47,4.3,No,0,2,1
SSN100155,USR7755,2024-05-29T06:26:49,2024-05-29T08:21:49,Comedy,Smart TV,Standard,France,116,84,0.75,1,4.83,2.2,No,2,2,0
SSN100156,USR1063,2024-02-24T13:01:56,2024-02-24T13:57:56,Sci-Fi,Smart TV,Premium,Brazil,59,45,0.85,2,6.45,3.4,No,1,2,0
SSN100157,USR3618,2024-01-17T06:27:49,2024-01-17T07:57:49,Horror,Smart TV,PREMIUM,Canada,89,81,0.91,1,4.12,3.5,No,0,1,0
SSN100158,USR1191,2024-10-20T21:52:41,2024-10-20T23:39:41,Animation,Smart TV,Standard,Germany,113,105,1,1,5.53,3.9,Yes,1,2,1
SSN100159,USR9853,2024-09-18T01:14:19,2024-09-18T02:35:19,Horror,PC,Basic,India,84,64,0.72,1,3.93,5,Yes,3,1,1
SSN100160,USR1642,2024-04-25T15:36:01,2024-04-25T18:12:01,Romance,iPad,Premium,Germany,151,96,,1,4.14,2.4,No,0,3,0
SSN100161,USR5181,2024-07-20T20:15:40,2024-07-20T23:12:40,Sci-Fi,PC,Premium,France,177,151,0.85,3,2.58,3.8,Yes,1,0,0
SSN100162,USR2336,2024-04-18T21:42:52,2024-04-18T22:09:52,Love,Mobile,Standard,Brazil,29,20,0.78,0,3.03,,Yes,1,1,0
SSN100163,USR6592,2024-11-30T16:30:38,2024-11-30T19:09:38,Horror,Tablet,Basic,UK,159,124,0.79,2,,3.2,No,0,3,0
SSN100164,USR4708,2024-09-27T22:00:26,2024-09-27T23:13:26,Sci-Fi,Tablet,Premium,UK,70,74,1,2,3.33,4.4,Yes,3,3,0
SSN100165,USR5527,2024-05-24T03:24:27,2024-05-24T05:10:27,Romance,Smart TV,Standard,Brazil,107,78,0.72,3,4.44,2.9,No,0,3,3
SSN100166,USR9084,2024-10-18T03:01:11,2024-10-18T03:47:11,Animation,Game Console,Standard,UK ,46,35,,1,2.49,4.6,No,0,0,2
SSN100167,USR3634,2024-11-01T10:14:55,2024-11-01T10:47:55,Romance,Tablet,Basic,India,34,29,,0,2.3,4.8,No,0,2,1
SSN100168,USR8611,2024-11-19T22:02:38,2024-11-19T23:30:38,Action,Mobile,Basic,France,85,58,0.67,3,1.63,3.7,Yes,2,2,4
SSN100169,USR3417,2024-12-20T01:55:53,2024-12-20T02:59:53,Romance,Smart TV,Standard,Canada,64,54,0.89,2,4.52,3.6,Yes,0,0,0
SSN100170,USR8579,2024-09-26T18:59:17,2024-09-26T21:11:17,Drama,GameConsole,Premium,Canada,132,112,0.82,0,2.92,3.1,Yes,5,2,0
SSN100171,USR7564,2024-09-15T22:55:57,2024-09-16T00:19:57,Drama,PC,Basic,Brazil,84,85,1,2,4.5,4.9,Yes,2,3,0
SSN100172,USR7292,2024-10-03T14:03:45,2024-10-03T15:36:45,Animation,Game Console,Premium,UK,94,91,0.94,1,3.93,4.9,No,0,2,0
