SessionID,UserID,StartTime,EndTime,Genre,DeviceType,SubscriptionType,Region,DurationMinutes,WatchMinutes,CompletionRate,BufferEvents,BitrateMbps,UserRating,PeakHours,PauseCount,VolumeChanges,AdSkips,StartDate,EndDate,StartDateTime,EndDateTime,LocalStartTime,LocalEndTime,LocalStartHour,LocalEndHour,Cluster,SubscriptionType_clean,Genre_encoded,DeviceType_encoded,SubscriptionType_clean_encoded
SSN100022,USR8881,19:08:55,19:54:55,comedy,tablet,Basic,Usa,46,25,0.62,1,337,4,Yes,1,1,3,24/02/2024,24/02/2024,2024-02-24 00:00:00+00:00,2024-02-24 00:00:00+00:00,2024-02-23 19:00:00-05:00,2024-02-23 19:00:00-05:00,19,19,0,basic,3,5,0
SSN100023,USR7846,10:46:27,11:57:27,drama,game console,Standard,Brazil,70,54,0.78,1,43,3.2,No,2,2,2,17/01/2024,17/01/2024,2024-01-17 00:00:00+00:00,2024-01-17 00:00:00+00:00,2024-01-16 21:00:00-03:00,2024-01-16 21:00:00-03:00,21,21,0,standard,5,1,2
SSN100024,USR4270,16:38:15,19:38:15,animation,tablet,Premium,Usa,181,92,0.51,2,381,3,No,1,4,0,05/11/2024,05/11/2024,2024-11-05 00:00:00+00:00,2024-11-05 00:00:00+00:00,2024-11-04 19:00:00-05:00,2024-11-04 19:00:00-05:00,19,19,3,premium,1,5,1
SSN100025,USR7271,06:40:09,08:26:09,animation,smart tv,Premium,Germany,104,105,1,1,567,4.1,No,1,2,0,03/10/2024,03/10/2024,2024-10-03 00:00:00+00:00,2024-10-03 00:00:00+00:00,2024-10-03 02:00:00+02:00,2024-10-03 02:00:00+02:00,2,2,1,premium,1,4,1
SSN100026,USR5305,19:49:00,20:52:00,documentary,game console,Standard,Usa,56,61,0.93,2,144,4.1,Yes,2,0,4,19/04/2024,19/04/2024,2024-04-19 00:00:00+00:00,2024-04-19 00:00:00+00:00,2024-04-18 20:00:00-04:00,2024-04-18 20:00:00-04:00,20,20,2,standard,4,1,2
SSN100027,USR2168,01:51:02,03:44:02,science fiction,tablet,Basic,Usa,116,115,1,0,247,3.9,Yes,1,3,0,29/07/2024,29/07/2024,2024-07-29 00:00:00+00:00,2024-07-29 00:00:00+00:00,2024-07-28 20:00:00-04:00,2024-07-28 20:00:00-04:00,20,20,1,basic,8,5,0
SSN100028,USR8270,20:19:09,22:02:09,science fiction,phone,Standard,India,104,75,0.76,0,329,3.9,Yes,0,3,1,02/10/2024,02/10/2024,2024-10-02 00:00:00+00:00,2024-10-02 00:00:00+00:00,2024-10-02 05:30:00+05:30,2024-10-02 05:30:00+05:30,5,5,2,standard,8,3,2
SSN100029,USR8998,18:32:46,20:39:46,documentary,tablet,Standard,United Kingdom,129,54,0.41,1,218,4.7,Yes,7,1,0,30/01/2024,30/01/2024,2024-01-30 00:00:00+00:00,2024-01-30 00:00:00+00:00,2024-01-30 00:00:00+00:00,2024-01-30 00:00:00+00:00,0,0,2,standard,4,5,2
SSN100030,USR9861,17:44:12,18:48:12,romance,phone,Basic,Usa,63,41,0.62,1,291,3.6,No,0,1,1,23/05/2024,23/05/2024,2024-05-23 00:00:00+00:00,2024-05-23 00:00:00+00:00,2024-05-22 20:00:00-04:00,2024-05-22 20:00:00-04:00,20,20,0,basic,7,3,0
SSN100031,USR4538,20:36:33,21:01:33,documentary,phone,Standard,France,26,20,0.82,1,432,3.1,Yes,2,3,1,07/09/2024,07/09/2024,2024-09-07 00:00:00+00:00,2024-09-07 00:00:00+00:00,2024-09-07 02:00:00+02:00,2024-09-07 02:00:00+02:00,2,2,0,standard,4,3,2
SSN100032,USR1947,18:06:28,19:14:28,drama,smart tv,Basic,India,68,54,0.83,0,457,,Yes,1,0,2,06/07/2024,06/07/2024,2024-07-06 00:00:00+00:00,2024-07-06 00:00:00+00:00,2024-07-06 05:30:00+05:30,2024-07-06 05:30:00+05:30,5,5,2,basic,5,4,0
SSN100033,USR9411,10:21:41,12:10:41,documentary,game console,Standard,Brazil,108,99,,1,314,4.4,No,1,1,0,22/03/2024,22/03/2024,2024-03-22 00:00:00+00:00,2024-03-22 00:00:00+00:00,2024-03-21 21:00:00-03:00,2024-03-21 21:00:00-03:00,21,21,1,standard,4,1,2
SSN100034,USR7875,04:56:23,05:37:23,horror,game console,Basic,United Kingdom,39,30,0.82,0,38,3.5,No,1,1,2,25/05/2024,25/05/2024,2024-05-25 00:00:00+00:00,2024-05-25 00:00:00+00:00,2024-05-25 01:00:00+01:00,2024-05-25 01:00:00+01:00,1,1,0,basic,6,1,0
SSN100035,USR7003,21:09:09,22:53:09,action,smart tv,Basic,Germany,106,74,0.71,1,592,4.8,Yes,1,2,1,03/08/2024,03/08/2024,2024-08-03 00:00:00+00:00,2024-08-03 00:00:00+00:00,2024-08-03 02:00:00+02:00,2024-08-03 02:00:00+02:00,2,2,2,basic,0,4,0
SSN100036,USR2713,10:43:49,11:09:49,romance,phone,Basic,Australia,22,16,0.59,0,399,3.7,No,0,1,2,25/08/2024,25/08/2024,2024-08-25 00:00:00+00:00,2024-08-25 00:00:00+00:00,2024-08-25 10:00:00+10:00,2024-08-25 10:00:00+10:00,10,10,0,basic,7,3,0
SSN100037,USR4402,06:18:30,09:01:30,horror,phone,Standard,France,167,83,0.5,1,44,,No,1,1,1,30/04/2024,30/04/2024,2024-04-30 00:00:00+00:00,2024-04-30 00:00:00+00:00,2024-04-30 02:00:00+02:00,2024-04-30 02:00:00+02:00,2,2,1,standard,6,3,2
SSN100038,USR8698,19:11:38,21:05:38,drama,game console,Standard,Australia,117,81,0.71,0,478,3,Yes,3,0,0,05/06/2024,05/06/2024,2024-06-05 00:00:00+00:00,2024-06-05 00:00:00+00:00,2024-06-05 10:00:00+10:00,2024-06-05 10:00:00+10:00,10,10,3,standard,5,1,2
SSN100039,USR9913,03:01:04,03:43:04,action,phone,Basic,Australia,45,28,0.72,0,37,4.4,No,2,3,2,16/12/2024,16/12/2024,2024-12-16 00:00:00+00:00,2024-12-16 00:00:00+00:00,2024-12-16 11:00:00+11:00,2024-12-16 11:00:00+11:00,11,11,2,basic,0,3,0
SSN100040,USR7163,00:27:00,01:36:00,comedy,smart tv,Standard,United Kingdom,66,66,0.99,0,722,5,Yes,0,3,0,28/09/2024,28/09/2024,2024-09-28 00:00:00+00:00,2024-09-28 00:00:00+00:00,2024-09-28 01:00:00+01:00,2024-09-28 01:00:00+01:00,1,1,2,standard,3,4,2
SSN100041,USR3592,01:42:28,04:36:28,comedy,tablet,Premium,Brazil,172,137,0.77,0,409,3.8,Yes,3,0,0,24/09/2024,24/09/2024,2024-09-24 00:00:00+00:00,2024-09-24 00:00:00+00:00,2024-09-23 21:00:00-03:00,2024-09-23 21:00:00-03:00,21,21,1,premium,3,5,1
SSN100042,USR1087,12:44:12,13:11:12,drama,game console,Standard,India,30,21,0.76,0,258,4.6,No,1,2,0,30/10/2024,30/10/2024,2024-10-30 00:00:00+00:00,2024-10-30 00:00:00+00:00,2024-10-30 05:30:00+05:30,2024-10-30 05:30:00+05:30,5,5,2,standard,5,1,2
SSN100043,USR1471,16:56:33,19:51:33,drama,phone,Premium,Canada,173,174,0.97,0,207,2.5,No,1,4,0,04/08/2024,04/08/2024,2024-08-04 00:00:00+00:00,2024-08-04 00:00:00+00:00,2024-08-03 20:00:00-04:00,2024-08-03 20:00:00-04:00,20,20,3,premium,5,3,1
SSN100044,USR7135,13:19:02,15:00:02,romance,game console,Basic,France,99,100,1,3,498,4.4,No,0,5,1,20/12/2024,20/12/2024,2024-12-20 00:00:00+00:00,2024-12-20 00:00:00+00:00,2024-12-20 01:00:00+01:00,2024-12-20 01:00:00+01:00,1,1,1,basic,7,1,0
SSN100045,USR9178,15:40:19,17:43:19,romance,phone,Basic,Canada,128,95,0.77,0,499,4.3,No,2,3,0,12/12/2024,12/12/2024,2024-12-12 00:00:00+00:00,2024-12-12 00:00:00+00:00,2024-12-11 19:00:00-05:00,2024-12-11 19:00:00-05:00,19,19,1,basic,7,3,0
SSN100046,USR6357,07:15:51,08:06:51,documentary,phone,Premium,France,48,32,0.65,0,35,3.9,No,2,2,0,06/02/2024,06/02/2024,2024-02-06 00:00:00+00:00,2024-02-06 00:00:00+00:00,2024-02-06 01:00:00+01:00,2024-02-06 01:00:00+01:00,1,1,0,premium,4,3,1
SSN100047,USR9482,21:46:07,23:58:07,documentary,phone,Premium,France,132,130,1,2,315,4.2,Yes,1,3,0,19/02/2024,19/02/2024,2024-02-19 00:00:00+00:00,2024-02-19 00:00:00+00:00,2024-02-19 01:00:00+01:00,2024-02-19 01:00:00+01:00,1,1,1,premium,4,3,1
SSN100048,USR8271,07:13:59,08:02:59,drama,game console,Basic,Usa,49,53,1,2,359,4.2,No,2,2,1,14/07/2024,14/07/2024,2024-07-14 00:00:00+00:00,2024-07-14 00:00:00+00:00,2024-07-13 20:00:00-04:00,2024-07-13 20:00:00-04:00,20,20,2,basic,5,1,0
SSN100049,USR2184,13:41:29,16:21:29,horror,phone,Premium,United Kingdom,161,156,0.94,2,293,4.8,No,3,0,0,09/10/2024,09/10/2024,2024-10-09 00:00:00+00:00,2024-10-09 00:00:00+00:00,2024-10-09 01:00:00+01:00,2024-10-09 01:00:00+01:00,1,1,1,premium,6,3,1
SSN100050,USR7665,01:51:29,04:38:29,horror,game console,Premium,United Kingdom,166,159,0.96,1,291,2.8,Yes,0,2,0,15/11/2024,15/11/2024,2024-11-15 00:00:00+00:00,2024-11-15 00:00:00+00:00,2024-11-15 00:00:00+00:00,2024-11-15 00:00:00+00:00,0,0,3,premium,6,1,1
SSN100051,USR8294,20:07:31,22:52:31,romance,phone,Premium,United Kingdom,160,141,0.85,0,31,4.2,Yes,2,5,0,21/01/2024,21/01/2024,2024-01-21 00:00:00+00:00,2024-01-21 00:00:00+00:00,2024-01-21 00:00:00+00:00,2024-01-21 00:00:00+00:00,0,0,1,premium,7,3,1
SSN100052,USR3104,05:16:46,06:01:46,comedy,smart tv,Basic,Germany,44,19,0.4,0,54,3.5,No,2,3,1,07/03/2024,07/03/2024,2024-03-07 00:00:00+00:00,2024-03-07 00:00:00+00:00,2024-03-07 01:00:00+01:00,2024-03-07 01:00:00+01:00,1,1,0,basic,3,4,0
SSN100053,USR4217,09:26:29,10:17:29,science fiction,smart tv,Standard,Australia,49,52,1,1,597,3.7,No,1,2,0,09/12/2024,09/12/2024,2024-12-09 00:00:00+00:00,2024-12-09 00:00:00+00:00,2024-12-09 11:00:00+11:00,2024-12-09 11:00:00+11:00,11,11,0,standard,8,4,2
SSN100054,USR7281,19:23:14,21:20:14,science fiction,game console,Basic,United Kingdom,116,115,1,1,318,3.2,Yes,0,3,1,23/03/2024,23/03/2024,2024-03-23 00:00:00+00:00,2024-03-23 00:00:00+00:00,2024-03-23 00:00:00+00:00,2024-03-23 00:00:00+00:00,0,0,3,basic,8,1,0
SSN100055,USR7357,12:21:46,14:19:46,drama,game console,Basic,Usa,120,107,0.92,0,428,5,No,2,3,1,11/02/2024,11/02/2024,2024-02-11 00:00:00+00:00,2024-02-11 00:00:00+00:00,2024-02-10 19:00:00-05:00,2024-02-10 19:00:00-05:00,19,19,1,basic,5,1,0
SSN100056,USR9699,03:33:49,05:42:49,documentary,tablet,Basic,Usa,128,82,0.64,0,356,4.1,No,2,2,0,20/06/2024,20/06/2024,2024-06-20 00:00:00+00:00,2024-06-20 00:00:00+00:00,2024-06-19 20:00:00-04:00,2024-06-19 20:00:00-04:00,20,20,1,basic,4,5,0
SSN100057,USR5697,00:16:24,00:51:24,romance,smart tv,Standard,Usa,36,25,0.75,1,,3.8,Yes,2,1,0,01/12/2024,01/12/2024,2024-12-01 00:00:00+00:00,2024-12-01 00:00:00+00:00,2024-11-30 19:00:00-05:00,2024-11-30 19:00:00-05:00,19,19,0,standard,7,4,2
SSN100058,USR9845,15:16:33,16:49:33,documentary,game console,Standard,France,89,94,0.99,1,315,4.4,No,2,5,0,22/01/2024,22/01/2024,2024-01-22 00:00:00+00:00,2024-01-22 00:00:00+00:00,2024-01-22 01:00:00+01:00,2024-01-22 01:00:00+01:00,1,1,2,standard,4,1,2
SSN100059,USR8935,01:17:54,03:09:54,horror,phone,Premium,India,115,114,0.99,2,321,3.9,Yes,0,2,0,30/07/2024,30/07/2024,2024-07-30 00:00:00+00:00,2024-07-30 00:00:00+00:00,2024-07-30 05:30:00+05:30,2024-07-30 05:30:00+05:30,5,5,1,premium,6,3,1
SSN100060,USR8777,14:16:45,14:46:45,comedy,game console,Basic,Germany,29,29,0.94,1,213,3,No,0,4,0,18/12/2024,18/12/2024,2024-12-18 00:00:00+00:00,2024-12-18 00:00:00+00:00,2024-12-18 01:00:00+01:00,2024-12-18 01:00:00+01:00,1,1,0,basic,3,1,0
SSN100061,USR5451,22:03:55,23:20:55,action,game console,Premium,Usa,77,50,0.64,3,324,4.9,Yes,0,4,0,24/03/2024,24/03/2024,2024-03-24 00:00:00+00:00,2024-03-24 00:00:00+00:00,2024-03-23 20:00:00-04:00,2024-03-23 20:00:00-04:00,20,20,2,premium,0,1,1
SSN100062,USR7524,05:36:58,08:29:58,drama,smart tv,Standard,Usa,170,112,0.67,0,432,4,No,2,2,1,20/05/2024,20/05/2024,2024-05-20 00:00:00+00:00,2024-05-20 00:00:00+00:00,2024-05-19 20:00:00-04:00,2024-05-19 20:00:00-04:00,20,20,1,standard,5,4,2
SSN100063,USR8681,22:51:51,23:49:51,romance,smart tv,Basic,India,53,41,0.68,0,526,4.2,Yes,4,2,2,06/08/2024,06/08/2024,2024-08-06 00:00:00+00:00,2024-08-06 00:00:00+00:00,2024-08-06 05:30:00+05:30,2024-08-06 05:30:00+05:30,5,5,2,basic,7,4,0
SSN100064,USR7495,06:14:52,06:43:52,comedy,phone,Premium,United Kingdom,31,7,0.27,1,367,4,No,0,3,0,04/11/2024,04/11/2024,2024-11-04 00:00:00+00:00,2024-11-04 00:00:00+00:00,2024-11-04 00:00:00+00:00,2024-11-04 00:00:00+00:00,0,0,0,premium,3,3,1
SSN100065,USR5554,10:26:51,12:27:51,romance,phone,Premium,United Kingdom,127,77,0.62,3,519,3.9,No,3,5,0,06/11/2024,06/11/2024,2024-11-06 00:00:00+00:00,2024-11-06 00:00:00+00:00,2024-11-06 00:00:00+00:00,2024-11-06 00:00:00+00:00,0,0,3,premium,7,3,1
SSN100066,USR1782,13:24:16,13:58:16,science fiction,game console,Basic,India,35,30,,0,337,4.6,No,0,1,0,26/08/2024,26/08/2024,2024-08-26 00:00:00+00:00,2024-08-26 00:00:00+00:00,2024-08-26 05:30:00+05:30,2024-08-26 05:30:00+05:30,5,5,2,basic,8,1,0
SSN100067,USR1620,20:46:55,21:45:55,drama,phone,Standard,Canada,60,42,0.74,1,524,5,Yes,1,2,2,04/03/2024,04/03/2024,2024-03-04 00:00:00+00:00,2024-03-04 00:00:00+00:00,2024-03-03 19:00:00-05:00,2024-03-03 19:00:00-05:00,19,19,2,standard,5,3,2
SSN100068,USR6449,11:21:47,11:57:47,science fiction,game console,Standard,France,33,35,1,0,365,4.8,No,0,1,2,31/08/2024,31/08/2024,2024-08-31 00:00:00+00:00,2024-08-31 00:00:00+00:00,2024-08-31 02:00:00+02:00,2024-08-31 02:00:00+02:00,2,2,2,standard,8,1,2
SSN100069,USR2143,22:13:58,23:15:58,science fiction,smart tv,Basic,Australia,65,50,0.84,1,528,2.9,Yes,1,6,1,01/12/2024,01/12/2024,2024-12-01 00:00:00+00:00,2024-12-01 00:00:00+00:00,2024-12-01 11:00:00+11:00,2024-12-01 11:00:00+11:00,11,11,0,basic,8,4,0
SSN100070,USR9821,19:29:10,20:00:10,horror,phone,Basic,Brazil,31,22,0.71,6,386,4.7,Yes,1,3,2,21/01/2024,21/01/2024,2024-01-21 00:00:00+00:00,2024-01-21 00:00:00+00:00,2024-01-20 21:00:00-03:00,2024-01-20 21:00:00-03:00,21,21,2,basic,6,3,0
SSN100071,USR2333,05:58:37,08:48:37,drama,phone,Basic,Brazil,170,154,0.92,0,34,4,No,2,2,2,18/12/2024,18/12/2024,2024-12-18 00:00:00+00:00,2024-12-18 00:00:00+00:00,2024-12-17 21:00:00-03:00,2024-12-17 21:00:00-03:00,21,21,1,basic,5,3,0
SSN100072,USR3892,17:14:58,17:53:58,romance,tablet,Basic,Usa,38,20,0.6,1,429,4.5,No,0,1,0,08/02/2024,08/02/2024,2024-02-08 00:00:00+00:00,2024-02-08 00:00:00+00:00,2024-02-07 19:00:00-05:00,2024-02-07 19:00:00-05:00,19,19,2,basic,7,5,0
SSN100073,USR3761,15:16:51,17:25:51,science fiction,phone,Premium,France,127,128,1,1,379,3.9,No,0,4,0,12/02/2024,12/02/2024,2024-02-12 00:00:00+00:00,2024-02-12 00:00:00+00:00,2024-02-12 01:00:00+01:00,2024-02-12 01:00:00+01:00,1,1,1,premium,8,3,1
SSN100074,USR4293,08:16:43,10:21:43,action,phone,Standard,Usa,122,67,0.51,2,278,,No,0,3,1,16/12/2024,16/12/2024,2024-12-16 00:00:00+00:00,2024-12-16 00:00:00+00:00,2024-12-15 19:00:00-05:00,2024-12-15 19:00:00-05:00,19,19,3,standard,0,3,2
SSN100075,USR6691,04:59:51,06:29:51,horror,game console,Standard,Australia,93,55,0.64,1,,3.2,No,1,3,0,22/07/2024,22/07/2024,2024-07-22 00:00:00+00:00,2024-07-22 00:00:00+00:00,2024-07-22 10:00:00+10:00,2024-07-22 10:00:00+10:00,10,10,0,standard,6,1,2
SSN100076,USR8876,08:52:28,09:15:28,science fiction,game console,Standard,Australia,25,17,0.62,2,331,5,No,1,1,1,23/02/2024,23/02/2024,2024-02-23 00:00:00+00:00,2024-02-23 00:00:00+00:00,2024-02-23 11:00:00+11:00,2024-02-23 11:00:00+11:00,11,11,2,standard,8,1,2
SSN100077,USR1554,21:29:19,00:27:19,horror,tablet,Basic,Usa,178,144,0.82,3,359,4.3,Yes,0,4,0,29/07/2024,30/07/2024,2024-07-29 00:00:00+00:00,2024-07-30 00:00:00+00:00,2024-07-28 20:00:00-04:00,2024-07-29 20:00:00-04:00,20,20,1,basic,6,5,0
SSN100078,USR9280,00:45:25,01:40:25,action,game console,Premium,France,56,47,0.88,3,429,4.2,Yes,2,4,0,22/07/2024,22/07/2024,2024-07-22 00:00:00+00:00,2024-07-22 00:00:00+00:00,2024-07-22 02:00:00+02:00,2024-07-22 02:00:00+02:00,2,2,2,premium,0,1,1
SSN100079,USR4142,02:25:35,04:54:35,comedy,game console,Basic,Germany,149,97,0.66,3,,,No,1,0,0,27/11/2024,27/11/2024,2024-11-27 00:00:00+00:00,2024-11-27 00:00:00+00:00,2024-11-27 01:00:00+01:00,2024-11-27 01:00:00+01:00,1,1,1,basic,3,1,0
SSN100080,USR1886,22:41:00,01:16:00,science fiction,smart tv,Premium,Germany,155,111,0.75,1,47,3.9,Yes,0,8,0,16/12/2024,17/12/2024,2024-12-16 00:00:00+00:00,2024-12-17 00:00:00+00:00,2024-12-16 01:00:00+01:00,2024-12-17 01:00:00+01:00,1,1,1,premium,8,4,1
SSN100081,USR9602,22:41:26,23:55:26,animation,game console,Basic,France,70,74,1,0,49,4,Yes,0,3,1,29/04/2024,29/04/2024,2024-04-29 00:00:00+00:00,2024-04-29 00:00:00+00:00,2024-04-29 02:00:00+02:00,2024-04-29 02:00:00+02:00,2,2,2,basic,1,1,0
SSN100082,USR3245,00:37:44,03:01:44,comedy,game console,Premium,Usa,143,108,0.77,2,371,4.1,Yes,1,2,0,30/11/2024,30/11/2024,2024-11-30 00:00:00+00:00,2024-11-30 00:00:00+00:00,2024-11-29 19:00:00-05:00,2024-11-29 19:00:00-05:00,19,19,1,premium,3,1,1
SSN100083,USR2080,23:14:22,00:31:22,drama,game console,Standard,Australia,76,52,0.65,0,376,4.6,Yes,2,3,1,25/06/2024,26/06/2024,2024-06-25 00:00:00+00:00,2024-06-26 00:00:00+00:00,2024-06-25 10:00:00+10:00,2024-06-26 10:00:00+10:00,10,10,2,standard,5,1,2
SSN100084,USR5490,14:41:50,16:23:50,documentary,tablet,Standard,Germany,104,91,0.9,0,467,3.7,No,1,0,1,16/02/2024,16/02/2024,2024-02-16 00:00:00+00:00,2024-02-16 00:00:00+00:00,2024-02-16 01:00:00+01:00,2024-02-16 01:00:00+01:00,1,1,3,standard,4,5,2
